gene_id,combined_name,bin,n_genomes
WP_009242437.1,MULTISPECIES: GNAT family N-acetyltransferase [Mediterraneibacter],Bin 2,22
WP_009242439.1,MULTISPECIES: P1 family peptidase [Mediterraneibacter],Bin 2,22
WP_009242478.1,MULTISPECIES: MATE family efflux transporter [Mediterraneibacter],Bin 2,22
WP_009242494.1,MULTISPECIES: FHA domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009242506.1,CotS family spore coat protein [[Ruminococcus] torques],Bin 2,22
WP_009242516.1,hippurate hydrolase [[Ruminococcus] torques],Bin 2,22
WP_009242520.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009242531.1,MULTISPECIES: GtrA family protein [Mediterraneibacter],Bin 2,22
WP_009242538.1,MULTISPECIES: DUF885 domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009242548.1,MULTISPECIES: DUF5717 family protein [Mediterraneibacter],Bin 2,22
WP_009242549.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009242556.1,MULTISPECIES: DUF5662 family protein [Mediterraneibacter],Bin 2,22
WP_009242558.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 2,22
WP_009242559.1,MULTISPECIES: glyoxalase [Mediterraneibacter],Bin 2,22
WP_009242562.1,MULTISPECIES: arsenate reductase family protein [Mediterraneibacter],Bin 2,22
WP_009242570.1,MULTISPECIES: RrF2 family transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009242581.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 2,22
WP_009242600.1,MULTISPECIES: nucleotidyltransferase [Mediterraneibacter],Bin 2,22
WP_009242601.1,MULTISPECIES: magnesium transporter [Mediterraneibacter],Bin 2,22
WP_009242611.1,MULTISPECIES: purine-nucleoside phosphorylase [Mediterraneibacter],Bin 2,22
WP_009242618.1,MULTISPECIES: guanylate kinase [Mediterraneibacter],Bin 2,22
WP_009242626.1,MULTISPECIES: SPFH domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009242635.1,MULTISPECIES: 30S ribosomal protein S20 [Mediterraneibacter],Bin 2,22
WP_009242642.1,putative ABC transporter permease [[Ruminococcus] torques],Bin 2,22
WP_009242651.1,MULTISPECIES: DUF378 domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009242658.1,MULTISPECIES: ribosome silencing factor [Mediterraneibacter],Bin 2,22
WP_009242664.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009242667.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Mediterraneibacter],Bin 2,22
WP_009242686.1,MULTISPECIES: FtsW/RodA/SpoVE family cell cycle protein [Mediterraneibacter],Bin 2,22
WP_009242691.1,MULTISPECIES: Gx transporter family protein [Mediterraneibacter],Bin 2,22
WP_009242706.1,MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Mediterraneibacter],Bin 2,22
WP_009242713.1,MULTISPECIES: Gfo/Idh/MocA family protein [Mediterraneibacter],Bin 2,22
WP_009242751.1,MULTISPECIES: spore coat associated protein CotJA [Mediterraneibacter],Bin 2,22
WP_009242912.1,MULTISPECIES: RNA polymerase sigma factor [Mediterraneibacter],Bin 2,22
WP_009242931.1,MULTISPECIES: nucleotidyltransferase domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009242933.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009242998.1,MULTISPECIES: NifB/NifX family molybdenum-iron cluster-binding protein [Clostridia],Bin 2,22
WP_009243004.1,MULTISPECIES: M23 family metallopeptidase [Mediterraneibacter],Bin 2,22
WP_009243006.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009243031.1,MULTISPECIES: DnaD domain protein [Mediterraneibacter],Bin 2,22
WP_009243037.1,MULTISPECIES: 50S ribosomal protein L10 [Mediterraneibacter],Bin 2,22
WP_009243147.1,MULTISPECIES: RrF2 family transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009243148.1,MULTISPECIES: aminopeptidase [Mediterraneibacter],Bin 2,22
WP_009243153.1,MULTISPECIES: tRNA (guanosine(37)-N1)-methyltransferase TrmD [Mediterraneibacter],Bin 2,22
WP_009243156.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009243159.1,MULTISPECIES: DUF2344 domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009243163.1,MULTISPECIES: phosphatase PAP2 family protein [Mediterraneibacter],Bin 2,22
WP_009243330.1,MULTISPECIES: exodeoxyribonuclease VII small subunit [Mediterraneibacter],Bin 2,22
WP_009243333.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 2,22
WP_009243341.1,MULTISPECIES: DUF5721 family protein [Mediterraneibacter],Bin 2,22
WP_009243343.1,MULTISPECIES: PucR family transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009243350.1,MULTISPECIES: S41 family peptidase [Mediterraneibacter],Bin 2,22
WP_009243351.1,MULTISPECIES: murein hydrolase activator EnvC family protein [Mediterraneibacter],Bin 2,22
WP_009243354.1,MULTISPECIES: PadR family transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009243355.1,MULTISPECIES: MerR family transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009243363.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009243386.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 2,22
WP_009243394.1,MULTISPECIES: phosphatase PAP2 family protein [Mediterraneibacter],Bin 2,22
WP_009243399.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009243436.1,MULTISPECIES: RIP metalloprotease RseP [Mediterraneibacter],Bin 2,22
WP_009243444.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009243446.1,MULTISPECIES: D-isomer specific 2-hydroxyacid dehydrogenase family protein [Mediterraneibacter],Bin 2,22
WP_009243456.1,MULTISPECIES: phosphopyruvate hydratase [Mediterraneibacter],Bin 2,22
WP_009243457.1,MULTISPECIES: GNAT family N-acetyltransferase [Mediterraneibacter],Bin 2,22
WP_009243477.1,MULTISPECIES: TIGR04086 family membrane protein [Mediterraneibacter],Bin 2,22
WP_009243500.1,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD [[Ruminococcus] torques],Bin 2,22
WP_009243506.1,MULTISPECIES: sodium/proline symporter PutP [Mediterraneibacter],Bin 2,22
WP_009243512.1,MULTISPECIES: Cof-type HAD-IIB family hydrolase [Mediterraneibacter],Bin 2,22
WP_009243552.1,MULTISPECIES: RNA polymerase sigma factor [Mediterraneibacter],Bin 2,22
WP_009243553.1,MULTISPECIES: dipicolinate synthase subunit B [Mediterraneibacter],Bin 2,22
WP_009243574.1,MULTISPECIES: Na/Pi cotransporter family protein [Mediterraneibacter],Bin 2,22
WP_009243579.1,MULTISPECIES: class I SAM-dependent DNA methyltransferase [Mediterraneibacter],Bin 2,22
WP_009243580.1,MULTISPECIES: HEPN domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009243586.1,MULTISPECIES: stage V sporulation protein AB [Mediterraneibacter],Bin 2,22
WP_009243587.1,MULTISPECIES: stage V sporulation protein AA [Mediterraneibacter],Bin 2,22
WP_009243589.1,MULTISPECIES: tetratricopeptide repeat protein [Mediterraneibacter],Bin 2,22
WP_009243601.1,MULTISPECIES: ABC transporter substrate-binding protein [Mediterraneibacter],Bin 2,22
WP_009243606.1,MULTISPECIES: VanZ family protein [Mediterraneibacter],Bin 2,22
WP_009243608.1,MULTISPECIES: NUDIX hydrolase [Mediterraneibacter],Bin 2,22
WP_009243611.1,MULTISPECIES: nucleotidyltransferase family protein [Mediterraneibacter],Bin 2,22
WP_009243616.1,MULTISPECIES: diaminopimelate epimerase [Mediterraneibacter],Bin 2,22
WP_009243617.1,MULTISPECIES: CobW family GTP-binding protein [Mediterraneibacter],Bin 2,22
WP_009243621.1,MULTISPECIES: DUF975 family protein [Mediterraneibacter],Bin 2,22
WP_009243622.1,MULTISPECIES: PAQR family membrane homeostasis protein TrhA [Mediterraneibacter],Bin 2,22
WP_009243623.1,MULTISPECIES: 1-phosphofructokinase [Mediterraneibacter],Bin 2,22
WP_009243633.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Mediterraneibacter],Bin 2,22
WP_009243709.1,MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Mediterraneibacter],Bin 2,22
WP_009243711.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009319801.1,MULTISPECIES: sporulation protein YqfD [Mediterraneibacter],Bin 2,22
WP_009319835.1,MULTISPECIES: helix-turn-helix domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009319841.1,MULTISPECIES: DNA-3-methyladenine glycosylase family protein [Mediterraneibacter],Bin 2,22
WP_009319842.1,MULTISPECIES: cytochrome c biogenesis protein/redoxin [Mediterraneibacter],Bin 2,22
WP_009319848.1,MULTISPECIES: anaerobic ribonucleoside-triphosphate reductase activating protein [Mediterraneibacter],Bin 2,22
WP_009319850.1,MULTISPECIES: HD domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009319852.1,MULTISPECIES: ATP-binding cassette domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009319901.1,MULTISPECIES: helix-turn-helix transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009319905.1,MULTISPECIES: YihY/virulence factor BrkB family protein [Mediterraneibacter],Bin 2,22
WP_009319931.1,ribonuclease R [[Ruminococcus] torques],Bin 2,22
WP_009319937.1,MULTISPECIES: Stk1 family PASTA domain-containing Ser/Thr kinase [Mediterraneibacter],Bin 2,22
WP_009320085.1,MULTISPECIES: AEC family transporter [Mediterraneibacter],Bin 2,22
WP_009320100.1,ROK family transcriptional regulator [[Ruminococcus] torques],Bin 2,22
WP_009320109.1,MULTISPECIES: ABC transporter ATP-binding protein [Mediterraneibacter],Bin 2,22
WP_009320111.1,MULTISPECIES: RNA polymerase sigma factor [Mediterraneibacter],Bin 2,22
WP_009320113.1,MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Mediterraneibacter],Bin 2,22
WP_009320114.1,MULTISPECIES: tetratricopeptide repeat protein [Mediterraneibacter],Bin 2,22
WP_009320329.1,MULTISPECIES: helix-turn-helix transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_009320375.1,MULTISPECIES: phenylalanine--tRNA ligase subunit beta [Mediterraneibacter],Bin 2,22
WP_009320377.1,phenylalanine--tRNA ligase subunit alpha [[Ruminococcus] torques],Bin 2,22
WP_009320393.1,AAA family ATPase [[Ruminococcus] torques],Bin 2,22
WP_009320405.1,MULTISPECIES: ABC transporter ATP-binding protein [Mediterraneibacter],Bin 2,22
WP_009320417.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009320456.1,MULTISPECIES: heavy metal translocating P-type ATPase [Mediterraneibacter],Bin 2,22
WP_009320587.1,MULTISPECIES: HlyD family efflux transporter periplasmic adaptor subunit [Mediterraneibacter],Bin 2,22
WP_009320594.1,MULTISPECIES: nucleoside recognition domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009320615.1,SbcC/MukB-like Walker B domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_009320650.1,MULTISPECIES: uracil permease [Lachnospiraceae],Bin 2,22
WP_009320658.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_009320678.1,MULTISPECIES: glycerate kinase [Mediterraneibacter],Bin 2,22
WP_009320692.1,MULTISPECIES: sugar phosphate isomerase/epimerase family protein [Mediterraneibacter],Bin 2,22
WP_009320701.1,MULTISPECIES: transglycosylase domain-containing protein [Mediterraneibacter],Bin 2,22
WP_009320713.1,MULTISPECIES: methylated-DNA--[protein]-cysteine S-methyltransferase [Mediterraneibacter],Bin 2,22
WP_009320980.1,MULTISPECIES: ZIP family metal transporter [Mediterraneibacter],Bin 2,22
WP_009320984.1,MULTISPECIES: ECF transporter S component [Mediterraneibacter],Bin 2,22
WP_009321072.1,MULTISPECIES: cobyric acid synthase [Mediterraneibacter],Bin 2,22
WP_009321084.1,LacI family DNA-binding transcriptional regulator [[Ruminococcus] torques],Bin 2,22
WP_009321148.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Mediterraneibacter],Bin 2,22
WP_009321152.1,MULTISPECIES: peptidoglycan D D-transpeptidase FtsI family protein [Mediterraneibacter],Bin 2,22
WP_009321153.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_009321326.1,MULTISPECIES: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Mediterraneibacter],Bin 2,22
WP_009321398.1,MULTISPECIES: bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Mediterraneibacter],Bin 2,22
WP_009321446.1,MULTISPECIES: tetratricopeptide repeat protein [Mediterraneibacter],Bin 2,22
WP_009321556.1,class B sortase [[Ruminococcus] torques],Bin 2,22
WP_022002984.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_022002986.1,phosphoribosylglycinamide formyltransferase [[Ruminococcus] torques],Bin 2,22
WP_022002988.1,substrate-binding domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_022003021.1,MULTISPECIES: O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein [Mediterraneibacter],Bin 2,22
WP_022003046.1,response regulator transcription factor [[Ruminococcus] torques],Bin 2,22
WP_022003069.1,cobalt-precorrin 5A hydrolase [[Ruminococcus] torques],Bin 2,22
WP_022003079.1,transcription repressor NadR [[Ruminococcus] torques],Bin 2,22
WP_022003085.1,MULTISPECIES: metallophosphoesterase family protein [Mediterraneibacter],Bin 2,22
WP_022003100.1,DUF1836 domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_022003105.1,homoserine dehydrogenase [[Ruminococcus] torques],Bin 2,22
WP_022003106.1,DUF5685 family protein [[Ruminococcus] torques],Bin 2,22
WP_022003109.1,ABC transporter ATP-binding protein [[Ruminococcus] torques],Bin 2,22
WP_022003126.1,MULTISPECIES: LacI family DNA-binding transcriptional regulator [Mediterraneibacter],Bin 2,22
WP_022003131.1,LysR family transcriptional regulator [[Ruminococcus] torques],Bin 2,22
WP_022003167.1,MULTISPECIES: beta-ketoacyl-ACP synthase II [Mediterraneibacter],Bin 2,22
WP_022003171.1,cell wall hydrolase [[Ruminococcus] torques],Bin 2,22
WP_022003173.1,MULTISPECIES: ABC transporter substrate-binding protein [Mediterraneibacter],Bin 2,22
WP_022003230.1,DNA polymerase I [[Ruminococcus] torques],Bin 2,22
WP_022003246.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [[Ruminococcus] torques],Bin 2,22
WP_022003254.1,NAD-dependent DNA ligase LigA [[Ruminococcus] torques],Bin 2,22
WP_022003256.1,DEAD/DEAH box helicase family protein [[Ruminococcus] torques],Bin 2,22
WP_022003258.1,MULTISPECIES: PqqD family protein [Mediterraneibacter],Bin 2,22
WP_022003267.1,MATE family efflux transporter [[Ruminococcus] torques],Bin 2,22
WP_022003284.1,glucose-1-phosphate adenylyltransferase subunit GlgD [[Ruminococcus] torques],Bin 2,22
WP_022003285.1,MULTISPECIES: ABC transporter ATP-binding protein [Mediterraneibacter],Bin 2,22
WP_022003286.1,YfhO family protein [[Ruminococcus] torques],Bin 2,22
WP_044929350.1,MULTISPECIES: OPT family oligopeptide transporter [Mediterraneibacter],Bin 2,22
WP_044929464.1,MULTISPECIES: glucose-6-phosphate isomerase [Mediterraneibacter],Bin 2,22
WP_044929555.1,MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase [Mediterraneibacter],Bin 2,22
WP_044929665.1,MULTISPECIES: quinolinate synthase NadA [Mediterraneibacter],Bin 2,22
WP_044997903.1,substrate-binding domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_044997935.1,glycoside hydrolase family 13 protein [[Ruminococcus] torques],Bin 2,22
WP_044998002.1,sensor histidine kinase [[Ruminococcus] torques],Bin 2,22
WP_044998009.1,stage V sporulation T C-terminal domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_044998179.1,ABC transporter permease [[Ruminococcus] torques],Bin 2,22
WP_044998251.1,alpha-galactosidase [[Ruminococcus] torques],Bin 2,22
WP_055158730.1,MULTISPECIES: translation factor GTPase family protein [Mediterraneibacter],Bin 2,22
WP_055158732.1,MULTISPECIES: dockerin type I domain-containing protein [Mediterraneibacter],Bin 2,22
WP_055158733.1,MULTISPECIES: YesL family protein [Mediterraneibacter],Bin 2,22
WP_055159041.1,bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase [[Ruminococcus] torques],Bin 2,22
WP_055159043.1,MULTISPECIES: L-serine ammonia-lyase  iron-sulfur-dependent subunit beta [Mediterraneibacter],Bin 2,22
WP_055159049.1,MULTISPECIES: SpoIIE family protein phosphatase [Mediterraneibacter],Bin 2,22
WP_081017317.1,MULTISPECIES: pro-sigmaK processing inhibitor BofA family protein [Clostridia],Bin 2,22
WP_118188406.1,putative ABC exporter domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188407.1,MATE family efflux transporter [[Ruminococcus] torques],Bin 2,22
WP_118188408.1,SpaH/EbpB family LPXTG-anchored major pilin [[Ruminococcus] torques],Bin 2,22
WP_118188410.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_118188412.1,FAD-dependent oxidoreductase [[Ruminococcus] torques],Bin 2,22
WP_118188418.1,glycoside hydrolase domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188447.1,Wadjet anti-phage system protein JetA family protein [[Ruminococcus] torques],Bin 2,22
WP_118188453.1,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA [[Ruminococcus] torques],Bin 2,22
WP_118188503.1,DJ-1 family glyoxalase III [[Ruminococcus] torques],Bin 2,22
WP_118188507.1,S1C family serine protease [[Ruminococcus] torques],Bin 2,22
WP_118188510.1,MULTISPECIES: FtsW/RodA/SpoVE family cell cycle protein [Mediterraneibacter],Bin 2,22
WP_118188539.1,MULTISPECIES: DUF6106 family protein [Mediterraneibacter],Bin 2,22
WP_118188542.1,NAD(+) diphosphatase [[Ruminococcus] torques],Bin 2,22
WP_118188544.1,PRC-barrel domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188546.1,COG1361 S-layer family protein [[Ruminococcus] torques],Bin 2,22
WP_118188608.1,phosphodiesterase [[Ruminococcus] torques],Bin 2,22
WP_118188617.1,DUF1015 domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188642.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_118188644.1,TetR/AcrR family transcriptional regulator [[Ruminococcus] torques],Bin 2,22
WP_118188645.1,LysM peptidoglycan-binding domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188649.1,sugar ABC transporter ATP-binding protein [[Ruminococcus] torques],Bin 2,22
WP_118188651.1,DUF58 domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188654.1,ABC transporter permease [[Ruminococcus] torques],Bin 2,22
WP_118188662.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [[Ruminococcus] torques],Bin 2,22
WP_118188693.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [[Ruminococcus] torques],Bin 2,22
WP_118188726.1,histidinol-phosphatase HisJ family protein [[Ruminococcus] torques],Bin 2,22
WP_118188732.1,HigA family addiction module antitoxin [[Ruminococcus] torques],Bin 2,22
WP_118188733.1,carbamoyl-phosphate synthase large subunit [[Ruminococcus] torques],Bin 2,22
WP_118188745.1,tRNA (adenine(22)-N(1))-methyltransferase [[Ruminococcus] torques],Bin 2,22
WP_118188748.1,2-isopropylmalate synthase [[Ruminococcus] torques],Bin 2,22
WP_118188764.1,nucleotidyltransferase domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188798.1,N-acetylglucosamine kinase [[Ruminococcus] torques],Bin 2,22
WP_118188804.1,SpoIID/LytB domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_118188805.1,NlpC/P60 family protein [[Ruminococcus] torques],Bin 2,22
WP_129794816.1,shikimate kinase [[Ruminococcus] torques],Bin 2,22
WP_129795033.1,alanine--tRNA ligase [[Ruminococcus] torques],Bin 2,22
WP_162776427.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_162776428.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_187305815.1,spore coat protein CotJB [[Ruminococcus] torques],Bin 2,22
WP_227070109.1,MULTISPECIES: sugar ABC transporter substrate-binding protein [Mediterraneibacter],Bin 2,22
WP_227070159.1,aminopeptidase [[Ruminococcus] torques],Bin 2,22
WP_227070165.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 2,22
WP_227070185.1,MULTISPECIES: cytidine deaminase [Mediterraneibacter],Bin 2,22
WP_227070336.1,MULTISPECIES: helix-turn-helix domain-containing protein [Mediterraneibacter],Bin 2,22
WP_227071184.1,N-acetylglucosamine kinase [[Ruminococcus] torques],Bin 2,22
WP_227077094.1,MULTISPECIES: carbohydrate ABC transporter substrate-binding protein [Mediterraneibacter],Bin 2,22
WP_227077119.1,MULTISPECIES: PolC-type DNA polymerase III [Mediterraneibacter],Bin 2,22
WP_227077200.1,ribosomal protection-like ABC-F family protein [[Ruminococcus] torques],Bin 2,22
WP_227182532.1,HIT family protein [[Ruminococcus] torques],Bin 2,22
WP_227182551.1,CPBP family intramembrane glutamic endopeptidase [[Ruminococcus] torques],Bin 2,22
WP_238094754.1,C39 family peptidase [[Ruminococcus] torques],Bin 2,22
WP_238094818.1,glycerol-3-phosphate acyltransferase [[Ruminococcus] torques],Bin 2,22
WP_238094822.1,nucleoside kinase [[Ruminococcus] torques],Bin 2,22
WP_238094825.1,helix-turn-helix domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_238094942.1,FAD-dependent oxidoreductase [[Ruminococcus] torques],Bin 2,22
WP_238094992.1,response regulator transcription factor [[Ruminococcus] torques],Bin 2,22
WP_238102309.1,CpaF family protein [[Ruminococcus] torques],Bin 2,22
WP_242854665.1,phosphotriesterase [[Ruminococcus] torques],Bin 2,22
WP_242854686.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_243035234.1,tRNA lysidine(34) synthetase TilS [[Ruminococcus] torques],Bin 2,22
WP_270186908.1,S8 family peptidase [[Ruminococcus] torques],Bin 2,22
WP_270186912.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB [[Ruminococcus] torques],Bin 2,22
WP_270186916.1,Cof-type HAD-IIB family hydrolase [[Ruminococcus] torques],Bin 2,22
WP_270186923.1,amidohydrolase family protein [[Ruminococcus] torques],Bin 2,22
WP_270186924.1,TrmH family RNA methyltransferase [[Ruminococcus] torques],Bin 2,22
WP_270186939.1,site-specific DNA-methyltransferase [[Ruminococcus] torques],Bin 2,22
WP_270186946.1,amidophosphoribosyltransferase [[Ruminococcus] torques],Bin 2,22
WP_270186947.1,alpha/beta hydrolase [[Ruminococcus] torques],Bin 2,22
WP_270186948.1,branched-chain amino acid transport system II carrier protein [[Ruminococcus] torques],Bin 2,22
WP_270186953.1,glutamine--fructose-6-phosphate transaminase (isomerizing) [[Ruminococcus] torques],Bin 2,22
WP_270186969.1,ribonuclease E/G [[Ruminococcus] torques],Bin 2,22
WP_270187030.1,sporulation integral membrane protein YtvI [[Ruminococcus] torques],Bin 2,22
WP_270187076.1,transglutaminase domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270187081.1,MBL fold metallo-hydrolase [[Ruminococcus] torques],Bin 2,22
WP_270187097.1,WD40/YVTN/BNR-like repeat-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270187104.1,DUF6147 family protein [[Ruminococcus] torques],Bin 2,22
WP_270187106.1,rhomboid family intramembrane serine protease [[Ruminococcus] torques],Bin 2,22
WP_270187107.1,DUF6382 domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270187109.1,prepilin peptidase [[Ruminococcus] torques],Bin 2,22
WP_270187124.1,glycosyl hydrolase family 18 protein [[Ruminococcus] torques],Bin 2,22
WP_270187126.1,sugar phosphate isomerase/epimerase family protein [[Ruminococcus] torques],Bin 2,22
WP_270187148.1,sensor histidine kinase [[Ruminococcus] torques],Bin 2,22
WP_270188336.1,heme transporter CcmB [[Ruminococcus] torques],Bin 2,22
WP_270620917.1,PTS sugar transporter subunit IIA [[Ruminococcus] torques],Bin 2,22
WP_270620925.1,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase [[Ruminococcus] torques],Bin 2,22
WP_270620931.1,BglG family transcription antiterminator [[Ruminococcus] torques],Bin 2,22
WP_270620970.1,glycosyltransferase family 2 protein [[Ruminococcus] torques],Bin 2,22
WP_270620979.1,translation initiation factor IF-2 [[Ruminococcus] torques],Bin 2,22
WP_270620998.1,C39 family peptidase [[Ruminococcus] torques],Bin 2,22
WP_270621094.1,aldose 1-epimerase family protein [[Ruminococcus] torques],Bin 2,22
WP_270621119.1,sensor histidine kinase  partial [[Ruminococcus] torques],Bin 2,22
WP_270621133.1,PP2C family protein-serine/threonine phosphatase [[Ruminococcus] torques],Bin 2,22
WP_270621134.1,serine/threonine protein kinase [[Ruminococcus] torques],Bin 2,22
WP_270621135.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_270621138.1,carboxypeptidase regulatory-like domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270621139.1,FHA domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270621142.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_270621163.1,glycoside hydrolase family 25 protein [[Ruminococcus] torques],Bin 2,22
WP_270621178.1,heavy metal translocating P-type ATPase [[Ruminococcus] torques],Bin 2,22
WP_270621179.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_270621195.1,ABC transporter ATP-binding protein/permease [[Ruminococcus] torques],Bin 2,22
WP_270621216.1,SpoIIE family protein phosphatase [[Ruminococcus] torques],Bin 2,22
WP_270621286.1,GerW family sporulation protein [[Ruminococcus] torques],Bin 2,22
WP_270621290.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [[Ruminococcus] torques],Bin 2,22
WP_270621294.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_270621297.1,Ig-like domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_270621314.1,ABC transporter permease [[Ruminococcus] torques],Bin 2,22
WP_270621328.1,Cof-type HAD-IIB family hydrolase [[Ruminococcus] torques],Bin 2,22
WP_270621341.1,hypothetical protein [[Ruminococcus] torques],Bin 2,22
WP_270621342.1,TetR/AcrR family transcriptional regulator [[Ruminococcus] torques],Bin 2,22
WP_278360750.1,phospho-sugar mutase [[Ruminococcus] torques],Bin 2,22
WP_278607404.1,MATE family efflux transporter [[Ruminococcus] torques],Bin 2,22
WP_278607430.1,hypothetical protein  partial [[Ruminococcus] torques],Bin 2,22
WP_278883933.1,cohesin domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_278884060.1,bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase [[Ruminococcus] torques],Bin 2,22
WP_278884068.1,uroporphyrinogen-III C-methyltransferase [[Ruminococcus] torques],Bin 2,22
WP_278884459.1,ribosome small subunit-dependent GTPase A [[Ruminococcus] torques],Bin 2,22
WP_278885112.1,MOSC domain-containing protein [[Ruminococcus] torques],Bin 2,22
WP_278918779.1,chorismate synthase [[Ruminococcus] torques],Bin 2,22
WP_278918793.1,DUF6442 family protein [[Ruminococcus] torques],Bin 2,22
